# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
NCU03501	NCU03501	NCU03501-t26_1	protein_coding	0	26	3	189	5	6	25	66	0	1	3	0	0	0	0	0	0	0	0	20	92
NCU03502	NCU03502	NCU03502-t26_1	protein_coding	0	22	5	157	4	0	2	70	0	0	5	0	0	0	1	0	0	0	0	21	81
NCU03503	NCU03503	NCU03503-t26_1	protein_coding	0	23	2	141	2	1	2	77	0	1	2	0	0	0	0	0	0	0	0	22	59
NCU03504	NCU03504	NCU03504-t26_1	protein_coding	0	23	5	143	9	1	2	60	0	2	5	0	0	0	1	0	0	0	0	21	71
NCU03505	NCU03505	NCU03505-t26_1	protein_coding	0	82	23	147	15	0	9	58	0	1	23	0	0	0	0	0	0	0	1	81	64
NCU03506	NCU03506	NCU03506-t26_1	protein_coding	0	11	0	139	1	0	0	49	0	0	0	0	0	0	0	0	0	0	0	11	89
NCU03507	NCU03507	NCU03507-t26_1	protein_coding	0	14	8	142	3	0	3	58	0	2	8	0	0	0	1	0	0	0	0	13	77
NCU03509	NCU03509	NCU03509-t26_1	protein_coding	1	33	4	114	3	0	0	58	0	0	4	0	0	0	0	0	1	0	0	33	53
NCU03511	NCU03511	NCU03511-t26_1	protein_coding	0	4	0	108	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	4	55
NCU03512	NCU03512	NCU03512-t26_1	protein_coding	0	15	3	127	0	0	0	49	0	0	3	0	0	0	0	0	0	0	0	15	78
NCU03513	NCU03513	NCU03513-t26_1	protein_coding	0	27	7	128	6	0	0	62	0	1	7	0	0	0	0	0	0	0	0	27	59
NCU03514	NCU03514	NCU03514-t26_1	protein_coding	0	39	16	154	0	0	1	84	0	0	16	0	0	0	0	0	0	0	0	39	69
NCU03515	NCU03515	NCU03515-t26_1	protein_coding	0	8	0	147	6	0	4	59	0	1	0	0	0	0	1	0	0	0	0	8	77
NCU03516	NCU03516	NCU03516-t26_1	protein_coding	0	7	2	131	7	0	3	68	0	1	2	0	0	0	0	0	0	0	0	7	52
NCU03517	NCU03517	NCU03517-t26_1	protein_coding	0	19	1	143	5	0	4	73	0	1	1	0	0	0	1	0	0	0	0	18	61
NCU03518	NCU03518	NCU03518-t26_1	protein_coding	0	17	10	118	0	0	0	75	0	14	10	0	0	0	1	0	0	0	0	16	30
NCU03520	NCU03520	NCU03520-t26_1	protein_coding	1	0	3	114	0	0	0	45	0	9	3	0	0	1	0	0	0	0	0	0	61
NCU03523	NCU03523	NCU03523-t26_1	protein_coding	0	47	5	138	5	1	4	65	0	0	5	0	0	0	0	0	0	0	0	46	64
NCU03525	NCU03525	NCU03525-t26_1	protein_coding	0	6	2	162	4	0	1	73	0	19	2	0	0	0	0	0	0	0	0	6	65
NCU03526	NCU03526	NCU03526-t26_1	protein_coding	0	28	1	157	16	0	6	66	0	1	1	0	0	0	0	0	0	0	0	28	68
NCU03526	NCU03526	NCU03526-t26_2	protein_coding	0	32	1	153	16	0	2	66	0	1	1	0	0	0	1	0	0	0	0	32	68
NCU03527	NCU03527	NCU03527-t26_1	protein_coding	1	18	7	132	2	1	4	59	0	0	7	0	0	0	0	0	1	0	0	17	67
NCU03528	NCU03528	NCU03528-t26_1	protein_coding	0	10	1	133	6	0	2	73	0	1	1	0	0	0	0	0	0	0	0	10	51
NCU03529	NCU03529	NCU03529-t26_1	protein_coding	1	13	3	109	1	0	0	44	0	0	3	0	0	0	0	0	1	0	0	13	64
NCU03530	NCU03530	NCU03530-t26_1	protein_coding	0	8	4	114	10	0	2	56	0	1	4	0	0	0	3	0	0	0	0	6	46
NCU03531	NCU03531	NCU03531-t26_1	protein_coding	1	4	7	115	0	0	0	57	0	0	7	0	0	0	0	0	1	0	0	4	58
NCU03532	NCU03532	NCU03532-t26_1	protein_coding	0	1	7	120	0	0	0	64	0	0	7	0	0	0	0	0	0	0	0	1	56
NCU03533	NCU03533	NCU03533-t26_1	protein_coding	0	15	10	112	0	0	0	63	0	0	10	0	0	0	0	0	0	0	0	15	49
NCU03534	NCU03534	NCU03534-t26_1	protein_coding	0	2	1	108	1	0	0	49	0	0	1	0	0	0	0	0	0	0	1	1	58
NCU03535	NCU03535	NCU03535-t26_1	protein_coding	0	4	4	127	1	1	7	74	0	0	4	0	0	0	0	0	0	0	0	3	45
NCU03536	NCU03536	NCU03536-t26_1	protein_coding	0	15	3	145	20	0	14	41	0	9	3	0	0	0	0	0	0	0	0	15	61
NCU03537	NCU03537	NCU03537-t26_1	protein_coding	0	14	8	140	3	0	1	65	0	0	8	0	0	0	0	0	0	0	0	14	71
NCU03538	NCU03538	NCU03538-t26_1	protein_coding	0	21	5	134	0	1	6	65	0	1	5	0	0	0	0	0	0	0	0	20	62
NCU03539	NCU03539	NCU03539-t26_1	protein_coding	0	41	1	136	2	1	6	70	0	0	1	0	0	0	0	0	0	0	0	40	58
NCU03540	NCU03540	NCU03540-t26_1	protein_coding	0	2	4	140	0	0	0	72	0	7	4	0	0	0	1	0	0	0	0	1	62
NCU03541	NCU03541	NCU03541-t26_1	protein_coding	0	8	10	148	3	0	7	66	0	7	10	0	0	0	0	0	0	0	0	8	65
NCU03542	NCU03542	NCU03542-t26_1	protein_coding	0	8	6	149	3	0	1	69	0	0	6	0	0	0	1	0	0	0	0	7	76
NCU03543	NCU03543	NCU03543-t26_1	protein_coding	0	18	2	179	6	1	9	73	0	2	2	0	0	0	1	0	0	0	0	16	90
NCU03544	NCU03544	NCU03544-t26_1	protein_coding	0	36	32	167	4	1	13	65	0	0	32	0	0	0	0	0	0	0	0	35	85
NCU03545	NCU03545	NCU03545-t26_1	protein_coding	0	107	27	153	0	0	2	76	0	1	27	0	0	0	1	0	0	0	0	107	74
NCU03545	NCU03545	NCU03545-t26_2	protein_coding	0	107	27	153	0	0	2	76	0	1	27	0	0	0	1	0	0	0	0	107	74
NCU03546	NCU03546	NCU03546-t26_1	protein_coding	0	50	18	159	8	0	0	76	0	2	18	0	0	0	1	0	0	0	0	49	74
NCU03547	NCU03547	NCU03547-t26_1	protein_coding	1	1	0	159	0	0	0	72	0	5	0	0	1	0	1	0	0	0	0	0	84
NCU03548	NCU03548	NCU03548-t26_1	protein_coding	0	19	4	137	9	0	7	66	0	1	4	0	0	0	0	0	0	0	0	19	54
NCU03549	NCU03549	NCU03549-t26_1	protein_coding	0	14	4	146	7	0	2	53	0	1	4	0	0	0	1	0	0	0	0	13	84
NCU03550	NCU03550	NCU03550-t26_1	protein_coding	0	30	8	115	7	0	4	41	0	0	8	0	0	0	0	0	0	0	0	30	63
NCU03551	NCU03551	NCU03551-t26_1	protein_coding	0	11	17	106	3	0	2	48	0	0	17	0	0	0	0	0	0	0	0	11	53
NCU03552	NCU03552	NCU03552-t26_1	protein_coding	0	27	5	109	6	0	1	50	0	0	5	0	0	0	0	0	0	0	0	27	52
NCU03553	NCU03553	NCU03553-t26_1	protein_coding	0	0	2	136	0	0	0	68	0	8	2	0	0	0	0	0	0	0	0	0	60
NCU03554	NCU03554	NCU03554-t26_1	protein_coding	0	24	2	129	1	1	10	57	0	0	2	0	0	0	0	0	0	0	0	23	61
NCU03555	NCU03555	NCU03555-t26_1	protein_coding	0	35	4	128	2	1	7	58	0	0	4	0	0	0	0	0	0	0	0	34	61
NCU03556	NCU03556	NCU03556-t26_1	protein_coding	0	14	0	156	10	2	2	73	0	1	0	0	0	0	0	0	0	0	0	12	70
NCU03557	NCU03557	NCU03557-t26_1	protein_coding	0	34	7	130	5	1	2	70	0	4	7	0	0	0	0	0	0	0	0	33	49
NCU03558	NCU03558	NCU03558-t26_1	protein_coding	0	2	0	138	3	1	1	74	0	19	0	0	0	0	0	0	0	0	0	1	41
NCU03559	NCU03559	NCU03559-t26_1	protein_coding	0	11	0	146	3	0	5	70	0	2	0	0	0	0	1	0	0	0	0	10	67
NCU03560	NCU03560	NCU03560-t26_1	protein_coding	0	23	5	132	2	1	4	79	0	2	5	0	0	0	1	0	0	0	0	21	46
NCU03561	NCU03561	NCU03561-t26_1	protein_coding	0	11	0	164	7	1	5	85	0	9	0	0	0	0	0	0	0	0	0	10	58
NCU03562	NCU03562	NCU03562-t26_1	protein_coding	1	38	13	214	13	2	4	71	0	14	13	0	0	0	0	0	1	0	0	36	112
NCU03563	NCU03563	NCU03563-t26_1	protein_coding	0	36	13	169	19	1	8	76	0	3	13	0	0	0	1	0	0	0	0	34	64
NCU03564	NCU03564	NCU03564-t26_1	protein_coding	0	34	14	177	0	0	2	67	0	4	14	0	0	0	0	0	0	0	0	34	104
NCU03565	NCU03565	NCU03565-t26_1	protein_coding	0	0	0	190	31	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	92
NCU03566	NCU03566	NCU03566-t26_1	protein_coding	0	17	2	140	1	0	2	65	0	1	2	0	0	0	1	0	0	0	0	16	72
NCU03566	NCU03566	NCU03566-t26_2	protein_coding	0	16	2	136	1	0	2	65	0	0	2	0	0	0	0	0	0	0	0	16	68
NCU03567	NCU03567	NCU03567-t26_1	protein_coding	0	28	2	132	5	1	17	52	0	0	2	0	0	0	0	0	0	0	0	27	58
NCU03568	NCU03568	NCU03568-t26_1	protein_coding	0	1	3	124	0	0	0	49	0	11	3	0	0	0	1	0	0	0	0	1	64
NCU03569	NCU03569	NCU03569-t26_1	protein_coding	0	6	0	146	8	0	5	63	0	0	0	0	0	0	0	0	0	0	0	6	70
NCU03570	NCU03570	NCU03570-t26_1	protein_coding	0	10	10	107	0	0	0	55	0	0	10	0	0	0	0	0	0	0	0	10	52
NCU03571	NCU03571	NCU03571-t26_1	protein_coding	0	27	3	154	1	2	5	76	0	3	3	0	0	0	0	0	0	0	0	25	69
NCU03572	NCU03572	NCU03572-t26_1	protein_coding	0	31	3	119	14	0	2	54	0	7	3	0	0	0	0	0	0	0	0	31	42
NCU03573	NCU03573	NCU03573-t26_1	protein_coding	0	34	14	158	6	2	13	71	0	2	14	0	0	0	1	0	0	0	0	31	66
NCU03574	NCU03574	NCU03574-t26_1	protein_coding	0	2	0	129	10	0	6	54	0	2	0	0	0	0	0	0	0	0	0	2	57
NCU03575	NCU03575	NCU03575-t26_1	protein_coding	0	37	1	140	8	0	0	62	0	3	1	0	0	0	1	0	0	0	0	36	68
NCU03576	NCU03576	NCU03576-t26_1	protein_coding	0	16	1	157	4	0	3	89	0	0	1	0	0	0	0	0	0	0	0	16	61
NCU03577	NCU03577	NCU03577-t26_1	protein_coding	0	15	14	139	0	0	0	62	0	2	14	0	0	0	0	0	0	0	0	15	75
NCU03578	NCU03578	NCU03578-t26_1	protein_coding	0	88	32	160	5	2	8	89	0	0	32	0	0	0	0	0	0	0	0	86	58
NCU03579	NCU03579	NCU03579-t26_1	protein_coding	0	16	1	116	2	0	1	66	0	1	1	0	0	0	1	0	0	0	0	15	47
NCU03580	NCU03580	NCU03580-t26_1	protein_coding	0	0	0	123	0	0	0	57	0	2	0	0	0	0	0	0	0	0	0	0	64
NCU03581	NCU03581	NCU03581-t26_1	protein_coding	0	6	2	102	0	0	0	49	0	8	2	0	0	0	2	0	0	0	0	4	47
NCU03582	NCU03582	NCU03582-t26_1	protein_coding	0	8	7	68	0	0	0	13	0	2	7	0	0	0	1	0	0	0	0	7	54
NCU03583	NCU03583	NCU03583-t26_1	protein_coding	0	2	5	102	7	0	0	73	0	7	5	0	0	0	0	0	0	0	0	2	15
NCU03584	NCU03584	NCU03584-t26_1	protein_coding	0	89	23	155	8	0	0	71	0	4	23	0	0	0	0	0	0	0	0	89	72
NCU03585	NCU03585	NCU03585-t26_1	protein_coding	2	1	1	151	0	0	0	80	0	3	1	0	1	1	0	0	0	0	0	1	70
NCU03588	NCU03588	NCU03588-t26_1	protein_coding	0	9	2	133	1	0	0	54	0	0	2	0	0	0	0	0	0	0	0	9	78
NCU03589	NCU03589	NCU03589-t26_1	protein_coding	0	7	4	139	2	1	6	78	0	0	4	0	0	0	0	0	0	0	0	6	53
NCU03590	NCU03590	NCU03590-t26_1	protein_coding	0	12	12	146	4	0	3	58	0	1	12	0	0	0	2	0	0	0	0	10	81
NCU03591	NCU03591	NCU03591-t26_1	protein_coding	0	71	12	92	8	0	3	60	0	0	12	0	0	0	1	0	0	0	0	70	21
NCU03592	NCU03592	NCU03592-t26_1	protein_coding	0	64	12	75	9	1	13	10	0	0	12	0	0	0	0	0	0	0	0	63	43
NCU03593	NCU03593	NCU03593-t26_1	protein_coding	0	18	1	124	9	1	4	57	0	0	1	0	0	0	0	0	0	0	0	17	54
NCU03596	NCU03596	NCU03596-t26_1	protein_coding	0	15	3	165	2	0	5	79	0	0	3	0	0	0	0	0	0	0	0	15	79
NCU03597	NCU03597	NCU03597-t26_1	protein_coding	0	26	1	184	35	0	2	66	0	2	1	0	0	0	0	0	0	0	0	26	79
NCU03598	NCU03598	NCU03598-t26_1	protein_coding	0	15	9	147	7	0	1	73	0	0	9	0	0	0	0	0	0	0	0	15	66
NCU03599	NCU03599	NCU03599-t26_1	protein_coding	0	3	5	139	2	0	2	66	0	0	5	0	0	0	0	0	0	0	0	3	69
NCU03600	NCU03600	NCU03600-t26_1	protein_coding	0	7	0	143	20	0	2	55	0	0	0	0	0	0	0	0	0	0	0	7	66
NCU03601	NCU03601	NCU03601-t26_1	protein_coding	0	7	1	146	11	0	10	69	0	4	1	0	0	0	4	0	0	0	0	3	56
NCU03602	NCU03602	NCU03602-t26_1	protein_coding	0	16	2	140	1	2	9	65	0	0	2	0	0	0	0	0	0	0	0	14	65
NCU03603	NCU03603	NCU03603-t26_1	protein_coding	0	7	0	119	12	1	3	58	0	2	0	0	0	0	1	0	0	0	0	5	45
NCU03604	NCU03604	NCU03604-t26_1	protein_coding	0	5	0	143	0	2	5	76	0	0	0	0	0	0	0	0	0	0	0	3	62
NCU03605	NCU03605	NCU03605-t26_1	protein_coding	1	11	8	151	11	0	0	56	0	0	8	0	0	0	0	0	1	0	0	11	84
NCU03606	NCU03606	NCU03606-t26_1	protein_coding	0	23	3	157	14	0	2	63	0	4	3	0	0	0	1	0	0	0	0	22	75
NCU03607	NCU03607	NCU03607-t26_1	protein_coding	0	25	5	127	3	0	2	35	0	8	5	0	0	0	2	0	0	0	0	24	80
NCU03608	NCU03608	NCU03608-t26_1	protein_coding	0	5	1	148	5	0	1	92	0	3	1	0	0	0	0	0	0	0	0	5	47
NCU03610	NCU03610	NCU03610-t26_1	protein_coding	0	7	0	121	9	0	8	42	0	2	0	0	0	0	0	0	0	0	0	7	60
NCU03611	NCU03611	NCU03611-t26_1	protein_coding	0	32	0	122	7	2	14	43	0	2	0	0	0	0	0	0	0	0	0	30	56
NCU03613	NCU03613	NCU03613-t26_1	protein_coding	0	23	3	164	23	0	9	75	0	1	3	0	0	0	3	0	0	0	0	21	56
NCU03614	NCU03614	NCU03614-t26_1	protein_coding	0	3	1	149	0	0	0	80	0	0	1	0	0	0	0	0	0	0	0	3	69
NCU03616	NCU03616	NCU03616-t26_1	protein_coding	1	4	1	143	12	0	2	68	0	3	1	0	0	0	0	0	0	1	0	4	58
NCU03617	NCU03617	NCU03617-t26_1	protein_coding	0	4	4	146	6	1	3	58	0	0	4	0	0	0	0	0	0	0	0	3	79
NCU03618	NCU03618	NCU03618-t26_1	protein_coding	0	21	18	110	0	0	0	43	0	4	18	0	0	0	0	0	0	0	0	21	63
NCU03620	NCU03620	NCU03620-t26_1	protein_coding	1	1	6	110	0	0	0	43	0	4	6	0	0	0	0	0	1	0	0	1	63
NCU03621	NCU03621	NCU03621-t26_1	protein_coding	0	42	11	142	17	4	17	52	0	9	11	0	0	0	1	0	0	0	0	37	47
NCU03622	NCU03622	NCU03622-t26_1	protein_coding	0	15	11	130	4	1	2	52	0	2	11	0	0	0	0	0	0	0	0	14	70
NCU03623	NCU03623	NCU03623-t26_1	protein_coding	0	7	0	128	3	0	3	61	0	1	0	0	0	0	0	0	0	0	0	7	60
NCU03624	NCU03624	NCU03624-t26_1	protein_coding	0	16	3	119	12	0	1	57	0	0	3	0	0	0	0	0	0	0	0	16	49
NCU03625	NCU03625	NCU03625-t26_1	protein_coding	0	7	0	120	13	2	4	47	0	8	0	0	0	0	2	0	0	0	0	3	50
NCU03626	NCU03626	NCU03626-t26_1	protein_coding	0	15	2	116	0	0	6	52	0	1	2	0	0	0	1	0	0	0	0	14	58
NCU03627	NCU03627	NCU03627-t26_1	protein_coding	0	9	6	134	7	0	1	57	0	0	6	0	0	0	0	0	0	0	0	9	69
NCU03628	NCU03628	NCU03628-t26_1	protein_coding	0	40	6	126	1	0	0	72	0	0	6	0	0	0	0	0	0	0	0	40	53
NCU03629	NCU03629	NCU03629-t26_1	protein_coding	0	5	0	140	7	0	0	64	0	0	0	0	0	0	0	0	0	0	0	5	69
NCU03630	NCU03630	NCU03630-t26_1	protein_coding	0	4	0	141	0	0	3	70	0	0	0	0	0	0	0	0	0	0	0	4	68
NCU03631	NCU03631	NCU03631-t26_1	protein_coding	0	9	0	158	6	0	4	78	0	0	0	0	0	0	0	0	0	0	0	9	70
NCU03632	NCU03632	NCU03632-t26_1	protein_coding	0	27	8	138	0	0	0	67	0	4	8	0	0	0	2	0	0	0	0	25	69
NCU03633	NCU03633	NCU03633-t26_1	protein_coding	0	18	3	152	3	3	18	68	0	1	3	0	0	0	0	0	0	0	0	15	62
NCU03634	NCU03634	NCU03634-t26_1	protein_coding	0	11	4	138	0	0	1	75	0	0	4	0	0	0	0	0	0	0	0	11	62
NCU03635	NCU03635	NCU03635-t26_1	protein_coding	0	3	0	156	5	0	0	69	0	4	0	0	0	0	1	0	0	0	0	2	79
NCU03636	NCU03636	NCU03636-t26_1	protein_coding	0	2	0	170	2	0	2	90	0	2	0	0	0	0	1	0	0	0	0	2	74
NCU03636	NCU03636	NCU03636-t26_2	protein_coding	0	3	0	169	2	0	2	90	0	1	0	0	0	0	1	0	0	0	0	3	74
NCU03637	NCU03637	NCU03637-t26_1	protein_coding	0	23	3	153	3	0	6	74	0	2	3	0	0	0	1	0	0	0	0	22	69
NCU03638	NCU03638	NCU03638-t26_1	protein_coding	0	4	2	159	12	2	4	68	0	1	2	0	0	0	0	0	0	0	0	2	74
NCU03639	NCU03639	NCU03639-t26_1	protein_coding	0	13	3	150	1	0	3	85	0	1	3	0	0	0	1	0	0	0	0	12	61
NCU03639	NCU03639	NCU03639-t26_2	protein_coding	0	12	3	151	1	0	3	85	0	1	3	0	0	0	0	0	0	0	0	12	61
NCU03640	NCU03640	NCU03640-t26_1	protein_coding	0	4	5	134	0	0	0	55	0	9	5	0	0	0	1	0	0	0	0	3	71
NCU03641	NCU03641	NCU03641-t26_1	protein_coding	0	34	5	125	0	0	4	47	0	1	5	0	0	0	0	0	0	0	0	34	73
NCU03641	NCU03641	NCU03641-t26_2	protein_coding	0	26	3	136	0	1	15	47	0	1	3	0	0	0	0	0	0	0	0	25	73
NCU03643	NCU03643	NCU03643-t26_1	protein_coding	0	39	11	127	7	0	1	53	0	4	11	0	0	0	0	0	0	0	0	39	62
NCU03644	NCU03644	NCU03644-t26_1	protein_coding	0	0	2	138	0	0	0	61	0	5	2	0	0	0	1	0	0	0	0	0	72
NCU03645	NCU03645	NCU03645-t26_1	protein_coding	0	22	16	180	15	2	11	81	0	0	16	0	0	0	0	0	0	0	0	20	73
NCU03646	NCU03646	NCU03646-t26_1	protein_coding	0	39	6	199	2	4	35	62	0	8	6	0	0	0	3	0	0	0	0	33	94
NCU03646	NCU03646	NCU03646-t26_2	protein_coding	0	32	6	165	2	0	0	62	0	7	6	0	0	0	3	0	0	0	0	30	96
NCU03647	NCU03647	NCU03647-t26_1	protein_coding	0	43	16	188	4	1	8	100	0	1	16	0	0	0	0	0	0	0	0	42	75
NCU03648	NCU03648	NCU03648-t26_1	protein_coding	0	41	10	152	2	1	4	77	0	8	10	0	0	0	1	0	0	0	0	39	62
NCU03649	NCU03649	NCU03649-t26_1	protein_coding	0	19	2	153	1	0	3	78	0	5	2	0	0	0	4	0	0	0	0	15	70
NCU03650	NCU03650	NCU03650-t26_1	protein_coding	0	36	10	129	7	1	5	52	0	6	10	0	0	0	1	0	0	0	0	34	60
NCU03651	NCU03651	NCU03651-t26_1	protein_coding	0	31	8	165	9	1	9	79	0	15	8	0	0	0	1	0	0	0	0	30	53
NCU03651	NCU03651	NCU03651-t26_2	protein_coding	0	31	8	165	9	1	9	79	0	15	8	0	0	0	1	0	0	0	0	30	53
NCU03652	NCU03652	NCU03652-t26_1	protein_coding	0	53	27	145	2	1	3	72	0	2	27	0	0	0	1	0	0	0	0	51	67
NCU03653	NCU03653	NCU03653-t26_1	protein_coding	0	7	2	159	6	0	4	64	0	4	2	0	0	0	0	0	0	0	0	7	81
NCU03654	NCU03654	NCU03654-t26_1	protein_coding	0	9	10	121	9	0	0	46	0	2	10	0	0	0	0	0	0	0	0	9	64
NCU03657	NCU03657	NCU03657-t26_1	protein_coding	0	42	7	120	1	1	5	68	0	8	7	0	0	0	3	0	0	0	1	37	41
NCU03657	NCU03657	NCU03657-t26_2	protein_coding	0	40	6	120	5	1	4	66	0	5	6	0	0	0	2	0	0	0	0	37	42
NCU03658	NCU03658	NCU03658-t26_1	protein_coding	0	37	6	156	3	0	4	85	0	1	6	0	0	0	0	0	0	0	0	37	63
NCU03659	NCU03659	NCU03659-t26_1	protein_coding	0	14	1	165	4	1	6	77	0	0	1	0	0	0	1	0	0	0	0	13	78
NCU03660	NCU03660	NCU03660-t26_1	protein_coding	0	19	0	154	11	1	12	55	0	3	0	0	0	0	0	0	0	0	0	18	73
NCU03661	NCU03661	NCU03661-t26_1	protein_coding	0	24	3	151	3	0	2	86	0	3	3	0	0	0	0	0	0	0	0	24	57
NCU03662	NCU03662	NCU03662-t26_1	protein_coding	0	34	3	123	5	0	2	71	0	1	3	0	0	0	1	0	0	0	0	33	45
NCU03665	NCU03665	NCU03665-t26_1	protein_coding	1	0	2	109	0	0	0	51	0	3	2	0	0	0	0	0	1	0	0	0	55
NCU03667	NCU03667	NCU03667-t26_1	protein_coding	0	11	1	111	17	0	0	49	0	2	1	0	0	0	0	0	0	0	0	11	43
NCU03668	NCU03668	NCU03668-t26_1	protein_coding	0	21	5	117	5	0	6	49	0	0	5	0	0	0	0	0	0	0	0	21	57
NCU03669	NCU03669	NCU03669-t26_1	protein_coding	0	24	3	106	5	0	0	52	0	0	3	0	0	0	0	0	0	0	0	24	49
NCU03670	NCU03670	NCU03670-t26_1	protein_coding	0	9	0	120	0	1	3	58	0	5	0	0	0	0	0	0	0	0	0	8	54
NCU03673	NCU03673	NCU03673-t26_1	protein_coding	0	0	1	140	4	0	3	64	0	3	1	0	0	0	0	0	0	0	0	0	66
NCU03675	NCU03675	NCU03675-t26_1	protein_coding	0	32	6	125	3	0	16	57	0	5	6	0	0	0	1	0	0	0	0	31	45
NCU03678	NCU03678	NCU03678-t26_1	protein_coding	0	12	0	147	11	0	9	61	0	1	0	0	0	0	1	0	0	0	0	11	66
NCU03679	NCU03679	NCU03679-t26_1	protein_coding	0	16	2	112	8	0	3	53	0	0	2	0	0	0	0	0	0	0	0	16	48
NCU03681	NCU03681	NCU03681-t26_1	protein_coding	0	15	2	135	9	1	7	63	0	0	2	0	0	0	0	0	0	0	0	14	56
NCU03682	NCU03682	NCU03682-t26_1	protein_coding	0	15	5	121	9	0	7	42	0	0	5	0	0	0	0	0	0	0	0	15	63
NCU03684	NCU03684	NCU03684-t26_1	protein_coding	0	7	4	141	13	1	10	61	0	1	4	0	0	0	0	0	0	0	0	6	56
NCU03684	NCU03684	NCU03684-t26_2	protein_coding	0	7	4	141	13	1	11	61	0	0	4	0	0	0	0	0	0	0	0	6	56
NCU03685	NCU03685	NCU03685-t26_1	protein_coding	0	53	20	144	8	1	10	51	0	2	20	0	0	0	1	0	0	0	0	51	74
NCU03685	NCU03685	NCU03685-t26_2	protein_coding	0	53	20	144	8	1	10	51	0	2	20	0	0	0	1	0	0	0	0	51	74
NCU03686	NCU03686	NCU03686-t26_1	protein_coding	0	16	1	135	17	2	11	47	0	7	1	0	0	0	1	0	0	0	0	13	54
NCU03686	NCU03686	NCU03686-t26_2	protein_coding	0	20	1	112	9	0	0	46	0	8	1	0	0	0	2	0	0	0	0	18	50
NCU03689	NCU03689	NCU03689-t26_1	protein_coding	2	5	3	147	0	2	3	75	0	3	3	0	1	1	0	0	0	0	0	3	68
NCU03690	NCU03690	NCU03690-t26_1	protein_coding	0	26	2	174	19	1	5	75	0	2	2	0	0	0	0	0	0	0	0	25	73
NCU03691	NCU03691	NCU03691-t26_1	protein_coding	0	1	1	153	16	0	1	59	0	0	1	0	0	0	0	0	0	0	0	1	77
NCU03692	NCU03692	NCU03692-t26_1	protein_coding	0	16	3	150	22	1	7	64	0	2	3	0	0	0	0	0	0	0	0	15	55
NCU03693	NCU03693	NCU03693-t26_1	protein_coding	0	21	0	132	5	2	3	63	0	2	0	0	0	0	1	0	0	0	0	18	60
NCU03694	NCU03694	NCU03694-t26_1	protein_coding	0	22	9	129	2	2	14	68	0	0	9	0	0	0	0	0	0	0	0	20	45
NCU03695	NCU03695	NCU03695-t26_1	protein_coding	0	7	1	165	1	0	7	72	0	1	1	0	0	0	0	0	0	0	0	7	84
NCU03696	NCU03696	NCU03696-t26_1	protein_coding	0	10	2	133	4	2	9	47	0	2	2	0	0	0	0	0	0	0	0	8	71
NCU03697	NCU03697	NCU03697-t26_1	protein_coding	0	25	3	122	8	2	5	52	0	0	3	0	0	0	0	0	0	0	1	22	57
NCU03698	NCU03698	NCU03698-t26_1	protein_coding	0	10	6	131	5	1	8	58	0	7	6	0	0	0	3	0	0	0	0	7	54
NCU03698	NCU03698	NCU03698-t26_2	protein_coding	0	11	6	118	2	0	0	58	0	8	6	0	0	0	4	0	0	0	0	9	52
NCU03699	NCU03699	NCU03699-t26_1	protein_coding	0	21	4	100	3	1	9	55	0	6	4	0	0	0	0	0	0	0	0	20	27
NCU03700	NCU03700	NCU03700-t26_1	protein_coding	0	1	0	95	0	0	0	49	0	2	0	0	0	0	0	0	0	0	0	1	44
NCU03701	NCU03701	NCU03701-t26_1	protein_coding	1	2	3	104	0	0	0	44	0	5	3	0	0	0	1	0	1	0	0	1	56
NCU03702	NCU03702	NCU03702-t26_1	protein_coding	0	9	0	167	14	0	1	74	0	5	0	0	0	0	0	0	0	0	0	9	73
NCU03703	NCU03703	NCU03703-t26_1	protein_coding	0	0	0	168	26	0	0	72	0	6	0	0	0	0	0	0	0	0	0	0	64
NCU03704	NCU03704	NCU03704-t26_1	protein_coding	0	21	1	133	10	0	7	50	0	5	1	0	0	0	2	0	0	0	0	19	63
NCU03707	NCU03707	NCU03707-t26_1	protein_coding	1	2	1	145	8	0	0	63	0	7	1	0	0	0	1	0	1	0	0	1	67
NCU03708	NCU03708	NCU03708-t26_1	protein_coding	0	14	1	152	11	2	13	64	0	0	1	0	0	0	0	0	0	0	0	12	64
NCU03709	NCU03709	NCU03709-t26_1	protein_coding	0	12	15	116	0	0	0	64	0	0	15	0	0	0	0	0	0	0	0	12	52
NCU03710	NCU03710	NCU03710-t26_1	protein_coding	0	15	5	115	4	0	8	70	0	1	5	0	0	0	0	0	0	0	0	15	32
